smiles_list,monomer_ID,replicate_count,heavy_atom_count,self-diffusion,self-diffusion_std,self-diffusion_count,self-diffusion_raw
*Oc1ccc(Oc2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4)cc3)cc2)cc1,PI546,1,30,2.7114165122527125,0.0,1,1.9171721394830258e-12
*CC(*)c1ccc(C(C)(C)O)cc1,PI139,1,12,-0.4641271574019801,0.0,1,4.4293673410145183e-13
*CC(*)C(=O)NC(C)C,PI456,1,8,0.9963088128456314,0.0,1,1.1209391924540208e-12
*CC(*)OC(=O)C1CCCC1,PI378,1,10,0.30089375773654403,0.0,1,7.980951057944676e-13
*C(=O)Nc1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,PI960,5,29,-0.963767084213568,1.417213890785448e-13,5,2.1098058842262461e-13
*CC(*)c1ccc(-c2ccccc2)cc1,PI132,1,14,-0.11235086265318522,0.0,1,6.062476888360186e-13
*CC(*)C(=O)OCCCCCCCC,PI421,1,13,0.822366781673661,0.0,1,1.0401871929497632e-12
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,PI171,2,17,1.0844254158880704,1.2619234532755268e-13,2,1.1618470273071447e-12
*CCCCCCCCCCCCSC(=O)S*,PI1125,1,16,2.0917806584171603,0.0,1,1.6295082906443336e-12
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,PI975,5,46,-0.6548317416678058,2.074896123966417e-13,5,3.5440277603315497e-13
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,PI965,4,44,-0.5095767545104959,2.4626771616956764e-13,4,4.21836912405412e-13
*C(=O)Nc1ccc(C2(c3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Sc6ccc(Oc7ccc(Sc8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)cc7)cc6)cc4)C5=O)cc3)c3ccccc3-c3ccccc32)cc1,PI1113,1,80,-0.724623840374339,0.0,1,3.2200203032391865e-13
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,0.23258694863693474,0.0,1,7.66383900760328e-13
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(C)cc(Cc4cc(C)c(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)c(C)c4)cc3C)cc1)C2=O,PI1000,5,62,-0.9359879147585984,4.571699516841816e-13,5,2.2387697386174025e-13
*CC(*)c1ccccc1COCCCC,PI89,2,14,0.955587418420911,8.980978880403768e-13,2,1.1020344228578405e-12
*CC(*)c1ccccc1C(=O)NC,PI94,2,12,-1.0549881470709712,2.7789804651241024e-13,2,1.6863151860317375e-13
*CC(*)C(=O)c1ccc(CCC)cc1,PI329,2,13,1.1947620811191402,5.286601833134721e-13,2,1.2130704508581315e-12
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PI346,1,15,0.0874594192633697,0.0,1,6.990089362329691e-13
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccccc7Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1077,5,73,-1.2425989279169285,3.6136968571986414e-14,5,8.153384830583257e-14
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,PI432,1,15,0.027386408971337657,0.0,1,6.71120244439291e-13
*CC(*)Cc1ccc(C)c(C)c1,PI292,2,11,0.2735322574016446,1.358621295381492e-13,2,7.853926218313185e-13
*c1ccc(Cc2ccc(N3C(=O)C4CCC5C(=O)N(*)C(=O)C5C4C3=O)c(C)c2)cc1C,PI1066,5,31,-1.1333437746245307,8.42426595674616e-14,5,1.3225518359817896e-13
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,PI323,1,14,0.028982034964842023,0.0,1,6.71861008408576e-13
*CC(*)CCc1ccc(C)cc1,PI282,1,11,-0.38557224143827223,0.0,1,4.794055880766407e-13
*CC(*)c1ccc(CCCC)cc1,PI121,2,12,0.09032908176061276,3.5824867454231265e-13,2,7.003411673388923e-13
*CCCCCCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,PI970,4,37,-0.7369517834884044,4.046841388166022e-13,4,3.1627882444016475e-13
*CC(*)c1ccc(COCC(CC)CCCC)cc1,PI235,2,18,1.955054513166955,8.784783652584951e-14,2,1.5660336402733266e-12
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,PI598,1,32,0.3321432796099371,0.0,1,8.126025906032064e-13
*CC(*)c1ccc(OC(C)=O)cc1,PI232,1,12,-0.29002554653555046,0.0,1,5.237628179389843e-13
*CC(*)OCC(F)(F)F,PI376,2,8,0.15610819205741847,3.8216323432046405e-13,2,7.30878896755347e-13
*c1ccc(Oc2ccccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1034,1,42,-1.0546581915819178,0.0,1,1.6878469932268665e-13
*CC(*)c1ccc(OCC)cc1,PI179,2,11,-0.41016063120012775,4.0933521715045e-13,2,4.679905113152523e-13
*CC(*)(C)C(=O)OC1CCCCC1,PI448,1,12,-0.9374850922260489,0.0,1,2.231819142876123e-13
*c1ccc2c(c1)C(=O)N(c1c(CC)cc(Cc3cc(CC)c(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)c(CC)c3)cc1CC)C2=O,PI972,5,52,-0.6873810619781303,1.5630168020182667e-13,5,3.3929186419744906e-13
*CC(*)N1CCCC1=O,PI408,1,8,-0.08319395321669106,0.0,1,6.197836854004928e-13
*CC(*)CCCCCCCCCC,PI31,1,12,0.972294432095923,0.0,1,1.1097905974345785e-12
*CC(*)c1ccc(N(C)C)cc1,PI177,1,11,-0.9403104297853835,0.0,1,2.218702608841564e-13
*CC(*)(C)C(=O)Oc1ccccc1,PI449,1,12,-0.6091253298949575,0.0,1,3.756218230682755e-13
*C(F)(F)C(*)(F)OC(F)C(F)F,PI405,1,11,-0.6934922609813124,0.0,1,3.364547607351612e-13
*CC(*)c1ccccc1C(=O)OCCCCC,PI104,1,16,0.8588297718991951,0.0,1,1.0571150128031774e-12
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2)cc1,PI1032,3,40,-0.7966931785366324,2.0548910359949027e-13,3,2.8854408390152744e-13
*CC(*)C(=O)OCCc1ccccc1,PI474,1,13,0.41915109605849654,0.0,1,8.529956750312834e-13
*c1ccc(Oc2ccc(-c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7cccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)c7)cc6C5=O)cc4)cc3)cc2)cc1,PI1038,3,56,-0.1486311918986132,3.119661525700938e-13,3,5.89404668724654e-13
*Cc1cc(*)c(O)cc1C,PI1138,1,9,-0.8276788311159843,0.0,1,2.7415909951984493e-13
*CC(*)CCCCCCCCCCCCCCCC,PI33,2,18,2.2593393456738586,1.9132093747663235e-13,2,1.7072968443315655e-12
*CC(*)OC(=O)c1ccc(C#N)cc1,PI403,2,13,-0.6918613703619165,2.1271267698656023e-13,2,3.372118961877118e-13
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,PI298,1,15,0.7005138934513364,0.0,1,9.836174018358881e-13
*CC(*)c1ccccc1,PI82,1,8,0.6714278070383572,0.0,1,9.701142846204777e-13
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,PI431,1,14,-0.1954977096646701,0.0,1,5.67647046406968e-13
