smiles_list,monomer_ID,replicate_count,heavy_atom_count,nematic_order_parameter,nematic_order_parameter_std,nematic_order_parameter_count,nematic_order_parameter_raw
*CC(*)c1ccccc1C(=O)OC(C)C,PI101,2,14,-0.1907363416595305,0.0029750880863193244,2,0.047131930829500804
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccccc8Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7C6=O)cc5C(F)(F)F)cc4)c4ccccc4-c4ccccc43)cc2)c(C(F)(F)F)c1,PI1078,5,77,1.0631950392623333,0.023359821290426346,5,0.0765530154079424
*CC(*)c1ccc(C#N)cc1,PI134,2,10,-1.1625138519166731,0.007835590920058564,2,0.02433104335216255
*C(C)C(*)C,PI49,1,4,-1.0047330037776803,0.0,1,0.0280330670422809
*CC(*)c1ccc(C(C)=O)cc1,PI218,1,11,-0.46773101104715664,0.0,1,0.0406327844489074
*CC(*)c1cc(Br)ccc1OCC,PI199,1,12,-0.9409098865946232,0.0,1,0.0295305535533227
*CC(*)c1ccc(CCCCCCCCC)cc1,PI126,1,17,0.20626789013356106,0.0,1,0.056446870434088
*c1ccc(C(C)(C)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI985,4,38,0.34924523158133786,0.016263287566382716,4,0.059801558353648
*c1ccc(Sc2ccc3c(c2)Sc2ccc(Sc4ccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)cc4)cc2S3)cc1,PI1086,2,44,-0.3525046405378488,0.015269185161510665,2,0.043336349288259995
*CC(*)(C)C(=O)OC(C)C,PI440,1,9,-1.1687026351100092,0.0,1,0.0241858354751295
*c1cccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)c1,PI992,5,37,0.4014058113879103,0.032773609770222804,5,0.0610254058890861
*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,PI468,1,16,-0.3561135447530121,0.0,1,0.0432516733021851
*CCCCCCN1C(=O)c2ccc(C(c3ccc4c(c3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)cc2C1=O,PI970,4,37,0.4659993072404628,0.019861356242195174,4,0.06254096785173355
*c1ccc(S(=O)(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI968,4,37,0.6555286285406179,0.017391662028265028,4,0.0669879083118782
*CC(*)(C)C,PI13,1,4,0.05563000456783648,0.0,1,0.0529124426022488
*CC(*)c1ccc(COCCO)cc1,PI148,1,13,-0.7198157174654082,0.0,1,0.034718102368768
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,PI433,1,15,0.13523626370091996,0.0,1,0.0547802501382608
*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,PI961,4,58,0.7722673220391276,0.0403216584841412,4,0.06972695689719345
*c1ccc(N2C(=O)c3ccc(Oc4ccc(C(C)(C)c5cccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)c5)cc4)cc3C2=O)cc1,PI1079,4,45,1.0780145142028308,0.018349794952372715,4,0.07690072584271271
*C(F)(F)C(*)(F)c1ccccc1,PI215,1,11,-1.132256831385804,0.0,1,0.0250409660589983
*C(CC)C(*)CC,PI62,1,6,-0.93423563611219,0.0,1,0.0296871519852058
*Oc1ccc(OC(=O)Oc2ccc(-c3ccc(OC(*)=O)cc3)cc2)cc1,PI815,1,26,0.5473443542647711,0.0,1,0.0644495726964261
*CC(*)OC(=O)c1cccc(Br)c1,PI334,1,12,0.7257817112198716,0.0,1,0.0686362615781335
*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,PI545,1,29,-0.27729947254063136,0.0,1,0.0451008936979831
*CC(*)c1cc(Br)ccc1OCCC,PI201,2,13,0.6802826008333291,0.027041460668871992,2,0.0675687125915676
*CC(*)C(C)c1ccccc1,PI28,2,10,-0.30456741638200624,0.02039804197111058,2,0.0444611039182206
*CC(*)CC1CCCCC1,PI25,1,9,0.39107903087549634,0.0,1,0.0607831078754138
*CC(*)CCCCCCCCCC,PI31,1,12,-0.7994892038484459,0.0,1,0.0328487174748264
*CC(*)C(=O)C1CCCCC1,PI300,1,10,-0.03408967778384058,0.0,1,0.0508073430705033
*CC(*)CCN(C(C)C)C(C)C,PI264,2,11,-0.4141212409440864,0.0246064271032431,2,0.04189063444327765
*CC(*)c1cc(C)c(C)cc1C,PI211,1,11,-0.20761272399927463,0.0,1,0.0467359590245439
*CC(*)c1ccc(Cl)c(Cl)c1,PI208,1,10,-0.7449115029120886,0.0,1,0.0341292781018082
*CC(*)OC(C)=O,PI259,2,6,-0.9596929036035732,0.0027514337045293105,2,0.02908984623834
*CC(*)c1ccc(C(=O)CC)cc1,PI167,1,12,-0.9632515714241562,0.0,1,0.0290063489525005
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,PI398,1,34,0.9795891182635597,0.0,1,0.0745913635102484
*CC(*)c1ccccc1C(=O)OCCCCCC,PI106,1,17,0.1561075213475695,0.0,1,0.0552699539975175
*CC(*)c1ccc(C(C)C)cc1C(C)C,PI188,2,14,-0.37919622726164676,0.010082686375998136,2,0.0427100826181043
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCC(c8ccccc8)CC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1025,2,72,1.1937791330465222,0.0007081043943519385,2,0.07961691964247816
*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)nc1,PI715,1,28,-0.6822760205156506,0.0,1,0.0355988990501589
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,PI109,1,16,-0.2585836376049715,0.0,1,0.0455400247150196
*CC(*)c1ccccc1C(=O)NC,PI94,2,12,-0.6713500574337523,0.0031411313534033696,2,0.0358552557287015
*CC(*)CCC,PI4,2,5,-1.1698033108176502,0.013074378075301412,2,0.02416001023972935
