smiles_list,monomer_ID,replicate_count,heavy_atom_count,thermal_conductivity,thermal_conductivity_std,thermal_conductivity_count,thermal_conductivity_raw
*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,PI468,1,16,0.15413479794834314,0.0,1,0.2382169998390746
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,PI165,1,15,0.25850398351445886,0.0,1,0.2437616667362738
*CC(*)OC(=O)c1ccccc1OC,PI357,3,13,-0.3100387456089113,0.005483632543935976,3,0.2135575405594275
*C=CC(C)CCCCC*,PI80,1,9,0.3334581932619339,0.0,1,0.2477436478482111
*CC(*)OCC(C)(C)C,PI276,1,8,-0.07618098364341178,0.0,1,0.2259813549677692
*Oc1ccc(S(=O)(=O)c2ccc(OC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,PI583,1,27,-0.06734553342795552,0.0,1,0.2264507428245946
*CC(*)(C)C(=O)OCCCC,PI441,1,10,0.32034592075755447,0.0,1,0.2470470515980082
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCC(*)=O)cc2)cc1,PI585,1,29,1.2684016904343831,0.0,1,0.2974130040993415
*CC(*)SCCCC,PI307,2,7,-0.035334793238612716,0.015017125490099911,2,0.2281513299329443
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,PI336,1,17,0.6156933074553043,0.0,1,0.2627375340839515
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PI346,1,15,-1.891226460599962,0.0,1,0.1295561264062518
*CC(*)c1ccc(C(=O)N(C)C)cc1,PI155,3,13,0.3665975663000756,0.007687867938889095,3,0.2495041941596712
*c1cccc(P(=O)(c2ccc(C(F)(F)F)cc2)c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c1,PI1052,5,68,-1.8622527650750338,0.003954163711069781,4,0.13109536894795804
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,PI435,1,15,-1.1988610752418187,0.0,1,0.1663383951586508
*CC(*)C(=O)OCCCCCCCCCCCCCC,PI423,1,19,1.5110103729726145,0.0,1,0.3103017156835734
*CCCC(*)(C)C,PI17,1,6,0.42820868288007974,0.0,1,0.2527773165544438
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Nc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1095,2,49,2.0994175193212734,0.0,1,0.3415611492868769
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PI350,1,21,-2.1462224282363125,0.0,1,0.1160093339022814
*c1ccc(Oc2ccc(Oc3ccc(-n4c(=O)c5cc6c(=O)n(*)c(=O)c6cc5c4=O)cc3)cc2-c2ccccc2)cc1,PI1031,2,42,1.4287071385989782,0.00024446510905045565,2,0.305929313842085
*CC(*)c1ccc(COCCO)cc1,PI148,1,13,0.23483978226785926,0.0,1,0.2425044938208297
*Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCCC(*)=O)cc2)cc1,PI586,1,30,1.128259292004871,0.0,1,0.2899678667894027
*CC(*)c1ccccc1COC(C)C,PI88,1,13,-0.15112072227919618,0.0,1,0.2220001426411158
*CC(*)c1ccc(C)nc1,PI228,1,9,-0.3213261229292804,0.0,1,0.2129578928085614
*CC(*)c1ccccc1COCCCC,PI89,2,14,0.036413805750021816,0.007169586898757645,2,0.23196301131739555
*CC(*)c1ccc(CCCC)cc1,PI121,2,12,0.47966861584245707,0.008885802283736317,2,0.25551115207573216
*CC(*)OC=O,PI270,1,5,-0.09267467115775496,0.0,1,0.2251051192984241
*Cc1cc(*)c(O)cc1C,PI1138,1,9,-0.2776435100286564,0.0,1,0.2152785541840382
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],PI396,1,16,0.10498886278641419,0.0,1,0.2356060966462771
*c1ccc(-c2ccc(Oc3ccc(C4(C)CC(C)(C)c5ccc(Oc6ccc(-c7ccc(N8C(=O)c9ccc(Oc%10ccc%11c(c%10)C(=O)N(*)C%11=O)cc9C8=O)cc7)cc6C(F)(F)F)cc54)cc3)c(C(F)(F)F)c2)cc1,PI1101,2,75,-0.07727216521812026,0.017535885518758985,2,0.22592338538294104
*c1ccc(C(=O)Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1091,3,37,2.2233247920590204,0.007329469751584332,2,0.34814378715786043
*C(OC(F)(F)F)C(*)(F)F,PI313,1,9,-2.2471345644171237,0.0,1,0.1106483245394848
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,PI981,2,57,-0.706079682813238,0.0,1,0.1925176611875461
*CC(*)c1ccc(C(C)C)cc1C(C)C,PI188,2,14,-0.3461590358508396,0.010930179079130548,2,0.21163863148166356
*CC(*)c1ccncc1,PI226,1,8,-0.8443625058606186,0.0,1,0.185171314780384
*c1ccc(Oc2cccc(Oc3ccc(N4C(=O)c5ccc(C(=O)c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c2)cc1,PI965,4,44,0.22467334345977236,0.020201994221002658,3,0.2419643965074719
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,PI431,1,14,-1.7401041565036277,0.0,1,0.1375845768766314
*CC(*)OCC,PI254,1,5,0.38846761527660006,0.0,1,0.2506660518089622
*CC(*)c1ccc(COCCCC)cc1,PI150,2,14,0.3857977567114217,0.014217261195566173,2,0.250524214193518
*C(F)(F)C(*)(F)OC(F)C(F)F,PI405,1,11,-1.519153789907921,0.0,1,0.1493226792383785
*CCCC=C(*)c1ccc(OC)cc1,PI389,2,13,-0.10529963664829681,0.001042413193343131,2,0.22443441148505955
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,PI395,1,17,-0.058158126992018465,0.0,1,0.2269388285374431
*c1ccc(Oc2ccc(NC(=O)CN3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(CC(=O)Nc5ccc(Oc7ccc(-c8nnc(*)o8)cc7)cc5)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,PI1021,2,70,-0.2293537926046324,0.003912922362292395,2,0.21784397036721304
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)Cl,PI433,1,15,-2.2257005475767273,0.0,1,0.1117870177563028
*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccc(C(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,PI963,3,53,0.38676065020741607,0.005819749950631654,3,0.2505753684078947
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,PI397,1,62,0.7294704562888268,0.0,1,0.2687820038896041
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1037,3,46,1.0866611041252956,0.021815778763625185,3,0.2877579415699207
*c1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C9(c%10ccc(Oc%11ccc%12c(c%11)C(=O)N(*)C%12=O)cc%10)CCC(C(C)(C)C)CC9)cc8)cc7C6=O)cc5)cc4)CC4CC3C3CCCC43)cc2)cc1,PI1017,4,82,-0.12306949304615053,0.01626702072135045,2,0.2234903786845473
*CC(*)SC,PI317,2,4,-0.5123197594731593,0.014694698717404664,2,0.2028112572055683
*CC(*)C(=O)OCCCC,PI415,1,9,0.1813251412030838,0.0,1,0.2396615008702007
*CC(*)c1cc(C(C)C)ccc1C(C)C,PI194,1,14,-0.8110374002965453,0.0,1,0.1869417282282281
*c1cccc(Oc2cccc(Oc3cccc(N4C(=O)c5ccc(-c6cccc7c6C(=O)N(*)C7=O)cc5C4=O)c3)c2)c1,PI1110,1,42,-0.6650453668506607,0.0,1,0.1946976304201582
*C(F)(F)C(*)(F)OC(F)(F)F,PI315,2,10,-2.10068536537473,0.004866745405014044,2,0.11842851388988751
*CC(*)CCCN(CC(C)C)CC(C)C,PI266,1,14,0.4850929813351023,0.0,1,0.2557993242945939
*CC(*)OC(=O)CCl,PI372,1,7,-0.4549010488710278,0.0,1,0.2058616558670949
*c1cccc(P(=O)(c2cccc(-n3c(=O)c4c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c5c(=O)n(*)c(=O)c5c(-c5cc(C(F)(F)F)cc(C(F)(F)F)c5)c4c3=O)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1,PI1051,4,72,-2.0383715265235542,0.0027410820984538724,4,0.1217389687683214
*c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI967,3,36,1.7253997584977399,0.03329942690826219,2,0.3216912625367393
